,nível,estado,Francisco Gross,Pacotuba,São João,data_hora
169,2.9,Baixando,398.93,1016.13,148.29,2022-01-10 02:00:00
170,2.85,Baixando,405.73,1021.68,144.2,2022-01-10 03:00:00
171,2.8,Baixandol,410.28,1021.68,157.32,2022-01-10 04:00:00
172,2.8,Estável,421.71,1021.68,162.29,2022-01-10 05:00:00
173,2.8,Estável,449.42,1016.13,170.24,2022-01-10 06:00:00
174,2.9,Subindo,454.08,1021.68,177.63,2022-01-10 07:00:00
175,2.9,Estável,454.08,1027.25,179.87,2022-01-10 08:00:00
176,2.9,Estável,458.75,1038.43,184.4,2022-01-10 09:00:00
177,2.9,Estável,468.13,1038.43,182.89,2022-01-10 10:00:00
178,2.8,Baixando,491.76,1060.95,176.88,2022-01-10 11:00:00
179,2.8,Estável,484.64,1089.42,168.05,2022-01-10 12:00:00
180,2.8,Estável,442.45,1100.9,158.73,2022-01-10 13:00:00
181,2.7,Baixando,401.2,1112.45,148.97,2022-01-10 14:00:00
182,2.7,Estável,372.0,1112.45,138.84,2022-01-10 15:00:00
183,2.7,Estável,367.56,1124.05,130.33,2022-01-10 16:00:00
184,2.7,Estável,347.72,1112.45,121.45,2022-01-10 17:00:00
185,2.8,Subindo,338.99,1112.45,112.26,2022-01-10 18:00:00
186,2.85,Subindo,334.64,1089.42,100.54,2022-01-10 19:00:00
187,2.9,Subindo,332.47,1038.43,93.81,2022-01-10 20:00:00
188,2.95,Subindo,330.31,994.07,87.29,2022-01-10 21:00:00
189,2.95,Estável,332.47,929.25,82.03,2022-01-10 22:00:00
190,2.95,Estável,328.14,876.8,77.93,2022-01-10 23:00:00
191,2.9,,304.59,830.83,74.42,2022-01-11 00:00:00
192,1.65,Estável,304.59,830.83,74.42,2022-01-11 00:00:00
193,2.9,Estável,298.24,786.03,70.99,2022-01-11 01:00:00
194,2.75,Baixando,296.13,756.81,68.12,2022-01-11 02:00:00
195,2.65,Baixando,291.92,742.4,65.76,2022-01-11 03:00:00
196,2.55,Baixando,281.46,718.66,63.9,2022-01-11 04:00:00
197,2.3,Baixando,246.58,690.66,62.07,2022-01-11 05:00:00
198,2.2,Baixando,201.22,667.73,59.82,2022-01-11 06:00:00
199,2.05,Baixando,182.2,649.65,58.49,2022-01-11 07:00:00
200,1.95,Baixando,220.67,627.37,57.17,2022-01-11 08:00:00
201,1.9,Baixando,226.59,596.81,55.43,2022-01-11 09:00:00
202,1.9,Estável,208.95,546.08,54.57,2022-01-11 10:00:00
203,1.9,Estável,193.56,470.12,53.29,2022-01-11 11:00:00
204,1.9,Estável,191.65,436.01,52.03,2022-01-11 12:00:00
205,1.8,Baixando,187.86,421.24,50.78,2022-01-11 13:00:00
206,1.7,Baixando,185.97,417.58,49.96,2022-01-11 14:00:00
207,1.65,Baixando,167.31,378.37,47.93,2022-01-11 16:00:00
208,1.65,Estável,154.54,331.1,44.37,2022-01-11 20:00:00
209,1.65,Estável,136.72,318.14,42.83,2022-01-11 22:00:00
210,1.65,,136.72,305.43,41.31,2022-01-12 00:00:00
211,1.6,Baixando,136.72,280.73,40.56,2022-01-12 02:00:00
212,1.6,Estável,129.74,265.8,39.46,2022-01-12 04:00:00
213,1.5,Baixando,112.68,262.86,38.72,2022-01-12 06:00:00
214,1.35,Baixando,114.36,259.93,38.0,2022-01-12 08:00:00
215,1.3,Baixando,117.74,242.7,37.28,2022-01-12 10:00:00
216,1.2,Baixando,119.43,220.6,36.57,2022-01-12 12:00:00
217,1.0,Baixando,114.36,204.67,35.86,2022-01-12 14:00:00
226,1.5,Baixando,102.72,194.37,52.45,2022-02-03 00:00:00
218,1.05,,203.15,385.36,152.42,2022-02-03 08:00:00
219,1.4,Subindo,180.32,470.12,130.33,2022-02-03 10:00:00
220,1.5,Subindo,167.31,473.98,100.54,2022-02-03 12:00:00
221,1.8,Subindo,165.47,436.01,76.42,2022-02-03 14:00:00
222,1.9,Subindo,136.72,385.36,61.17,2022-02-03 16:00:00
223,2.1,Subindo,126.28,347.64,52.03,2022-02-03 18:00:00
224,1.8,Baixando,128.01,305.43,46.33,2022-02-03 20:00:00
225,1.6,Baixando,134.97,268.76,50.78,2022-02-03 22:00:00
228,1.6,Baixando,134.97,245.54,60.72,2022-02-04 00:00:00
227,1.5,,134.97,245.54,60.72,2022-02-04 00:00:00
229,1.3,Baixando,156.35,242.7,70.51,2022-02-04 02:00:00
230,1.1,Baixando,150.94,245.54,67.64,2022-02-04 04:00:00
231,0.95,Baixando,143.79,254.13,61.17,2022-02-04 06:00:00
232,1.4,Subindo,85.06,207.29,39.09,2022-02-04 18:00:00
233,1.8,Subindo,85.06,212.57,38.0,2022-02-04 20:00:00
234,1.7,Baixando,78.84,217.91,36.92,2022-02-04 22:00:00
235,1.0,,69.72,174.52,35.16,2022-02-05 06:00:00
241,2.1,Subindo,49.55,92.33,22.27,2022-02-09 00:00:00
236,1.1,,178.45,314.94,139.5,2022-02-09 14:00:00
237,1.3,Subindo,176.58,331.1,112.26,2022-02-09 16:00:00
238,1.5,Subindo,165.47,327.84,82.03,2022-02-09 18:00:00
239,1.8,Subindo,167.31,327.84,66.7,2022-02-09 20:00:00
240,1.9,Subindo,167.31,321.36,58.04,2022-02-09 22:00:00
242,2.1,,171.01,305.43,52.45,2022-02-10 00:00:00
243,1.6,Estável,171.01,305.43,52.45,2022-02-10 00:00:00
244,2.2,Subindo,207.01,302.29,52.45,2022-02-10 02:00:00
245,1.9,Baixando,205.08,314.94,55.0,2022-02-10 04:00:00
246,1.7,Baixando,205.08,364.56,55.43,2022-02-10 06:00:00
247,1.2,Baixando,205.08,392.42,53.72,2022-02-10 08:00:00
248,1.2,Estável,212.84,392.42,52.45,2022-02-10 10:00:00
249,1.5,Subindo,201.22,378.37,49.55,2022-02-10 12:00:00
250,1.6,Subindo,195.47,364.56,46.33,2022-02-10 14:00:00
251,1.6,Estável,178.45,357.75,43.98,2022-02-10 16:00:00
252,1.6,Estável,174.72,340.98,43.21,2022-02-10 18:00:00
253,1.6,Estável,163.64,321.36,50.78,2022-02-10 20:00:00
