id,Data,Hora,Vazao,Nivel,Chuva
236,2023-02-06,01:30:00,71.22,773.00,0.00
237,2023-02-06,01:00:00,71.22,773.00,0.00
238,2023-02-06,00:30:00,71.22,773.00,0.00
239,2023-02-06,00:00:00,71.22,773.00,0.00
240,2023-02-05,23:30:00,71.22,773.00,0.00
241,2023-02-05,23:00:00,71.22,773.00,0.00
242,2023-02-05,22:30:00,71.22,773.00,0.00
243,2023-02-05,22:00:00,68.23,771.00,0.00
244,2023-02-05,21:30:00,66.74,770.00,0.00
245,2023-02-05,21:00:00,66.74,770.00,0.00
246,2023-02-05,20:30:00,65.26,769.00,0.00
247,2023-02-05,20:00:00,65.26,769.00,0.00
248,2023-02-05,19:30:00,65.26,769.00,0.00
249,2023-02-05,19:00:00,65.26,769.00,0.00
250,2023-02-05,18:30:00,66.74,770.00,0.00
251,2023-02-05,18:00:00,66.74,770.00,0.00
252,2023-02-05,17:30:00,66.74,770.00,0.00
253,2023-02-05,17:00:00,69.72,772.00,0.00
254,2023-02-05,16:30:00,72.73,774.00,0.00
255,2023-02-05,16:00:00,72.73,774.00,0.00
256,2023-02-05,15:30:00,72.73,774.00,0.00
257,2023-02-05,15:00:00,72.73,774.00,0.00
258,2023-02-05,14:30:00,72.73,774.00,0.00
259,2023-02-05,14:00:00,74.24,775.00,0.00
260,2023-02-05,13:30:00,74.24,775.00,0.00
261,2023-02-05,13:00:00,75.77,776.00,0.00
262,2023-02-05,12:30:00,74.24,775.00,0.00
263,2023-02-05,12:00:00,75.77,776.00,0.00
264,2023-02-05,11:30:00,75.77,776.00,0.00
265,2023-02-05,11:00:00,75.77,776.00,0.00
266,2023-02-05,10:30:00,75.77,776.00,0.00
267,2023-02-05,10:00:00,75.77,776.00,0.00
268,2023-02-05,09:30:00,75.77,776.00,0.00
269,2023-02-05,09:00:00,75.77,776.00,0.00
270,2023-02-05,08:30:00,75.77,776.00,0.00
271,2023-02-05,08:00:00,75.77,776.00,0.00
272,2023-02-05,07:30:00,75.77,776.00,0.00
273,2023-02-05,07:00:00,75.77,776.00,0.00
274,2023-02-05,06:30:00,74.24,775.00,0.00
275,2023-02-05,06:00:00,74.24,775.00,0.00
276,2023-02-05,05:30:00,75.77,776.00,0.00
277,2023-02-05,05:00:00,74.24,775.00,0.00
278,2023-02-05,04:30:00,75.77,776.00,0.00
279,2023-02-05,04:00:00,74.24,775.00,0.00
280,2023-02-05,03:30:00,74.24,775.00,0.00
281,2023-02-05,03:00:00,74.24,775.00,0.00
