,data,hora,nível,estado
319,2022-02-20,02:00:00,1.6,Baixando
320,2022-02-20,04:00:00,1.55,Baixando
321,2022-02-20,06:00:00,1.5,Baixando
322,2022-02-20,08:00:00,1.5,Estável
323,2022-02-20,10:00:00,1.55,Subindo
324,2022-02-20,12:00:00,1.55,Estável
325,2022-02-20,14:00:00,1.55,Estável
326,2022-02-20,16:00:00,1.4,Baixando
327,2022-02-20,18:00:00,1.35,Baixando
328,2022-02-20,20:00:00,1.35,Estável
329,2022-02-20,22:00:00,1.35,Estável
330,2022-02-20,00:00:00,1.35,Estável
331,2022-02-21,00:00:00,1.35,Estável
332,2022-02-21,02:00:00,1.3,Baixando
333,2022-02-21,04:00:00,1.25,Baixando
334,2022-02-21,06:00:00,1.25,Estável
335,2022-02-21,08:00:00,1.2,Baixando
336,2022-02-21,10:00:00,1.17,Baixando
337,2022-02-21,12:00:00,1.15,Baixando
338,2022-02-21,14:00:00,1.13,Baixando
339,2022-02-21,16:00:00,1.05,Baixando
340,2022-02-21,18:00:00,0.97,Baixando
341,2022-12-14,01:00:00,1.24,Subindo
342,2022-12-14,02:00:00,1.21,Baixando
343,2022-12-14,03:00:00,1.21,Estável
344,2022-12-14,04:00:00,1.19,Baixando
345,2022-12-14,05:00:00,1.14,Baixando
346,2022-12-14,06:00:00,1.13,Baixando
347,2022-12-14,07:00:00,1.1,Baixando
348,2022-12-14,08:00:00,1.09,Baixando
349,2022-12-14,09:00:00,1.09,Estável
350,2022-12-14,10:00:00,1.07,Baixando
351,2022-12-14,11:00:00,1.08,Subindo
352,2022-12-14,12:00:00,1.1,Subindo
353,2022-12-14,13:00:00,1.13,Subindo
354,2022-12-14,14:00:00,1.17,Subindo
355,2022-12-14,15:00:00,1.2,Subindo
356,2022-12-14,16:00:00,1.21,Subindo
357,2022-12-14,17:00:00,1.23,Subindo
358,2022-12-14,18:00:00,1.24,Subindo
359,2022-12-14,19:00:00,1.25,Subindo
360,2022-12-14,20:00:00,1.26,Subindo
361,2022-12-14,21:00:00,1.25,Baixando
362,2022-12-14,22:00:00,1.21,Baixando
363,2022-12-14,23:00:00,1.18,Baixando
364,2022-12-14,00:00:00,1.13,Baixando
365,2022-12-15,01:00:00,1.11,Baixando
366,2022-12-15,02:00:00,1.07,Baixando
367,2022-12-15,03:00:00,1.05,Baixando
368,2022-12-15,04:00:00,1.03,Baixando
369,2022-12-15,05:00:00,0.99,Baixando
370,2022-12-18,12:00:00,1.0,Subindo
371,2022-12-18,14:00:00,1.02,Subindo
372,2022-12-18,16:00:00,1.0,Baixando
373,2022-12-18,18:00:00,0.96,Baixando
374,2022-12-19,19:00:00,0.89,Subindo
375,2022-12-19,20:00:00,0.91,Subindo
376,2022-12-19,21:00:00,0.92,Subindo
377,2022-12-19,22:00:00,0.92,Estável
378,2022-12-19,23:00:00,0.93,Subindo
379,2022-12-19,00:00:00,0.95,Subindo
380,2022-12-20,01:00:00,0.99,Subindo
381,2022-12-20,02:00:00,1.06,Subindo
382,2022-12-20,03:00:00,1.16,Subindo
383,2022-12-20,04:00:00,1.23,Subindo
384,2022-12-20,05:00:00,1.23,Estável
385,2022-12-20,06:00:00,1.32,Subindo
386,2022-12-20,07:00:00,1.34,Subindo
387,2022-12-20,08:00:00,1.38,Subindo
388,2022-12-20,09:00:00,1.33,Baixando
389,2022-12-20,10:00:00,1.39,Subindo
390,2022-12-20,11:00:00,1.41,Subindo
391,2022-12-20,12:00:00,1.39,Baixando
392,2022-12-20,13:00:00,1.38,Baixando
393,2022-12-20,14:00:00,1.37,Baixando
394,2022-12-20,15:00:00,1.34,Baixando
395,2022-12-20,16:00:00,1.31,Baixando
396,2022-12-20,17:00:00,1.29,Baixando
397,2022-12-20,18:00:00,1.27,Baixando
398,2022-12-20,19:00:00,1.25,Baixando
399,2022-12-20,20:00:00,1.24,Baixando
400,2022-12-20,21:00:00,1.21,Baixando
401,2022-12-20,22:00:00,1.21,Estável
402,2022-12-20,23:00:00,1.21,Estável
403,2022-12-20,00:00:00,1.18,Baixando
404,2022-12-21,01:00:00,1.17,Baixando
405,2022-12-21,02:00:00,1.14,Baixando
